Japanese,Vietnamese
「ママ、ビスケット食べてもいいでしょ」「だめです。間食はいけません」," má , con có thể ăn một miếng bánh quy được không ?  "" không . con không nên ăn giữa bữa ăn . """
同性愛者ですが何か？それが犯罪だとでも？,bị gay thì sao ? cái đó cũng là tội à ?
私は彼の威嚇をぜんぜん怖くない。,tôi hoàn toàn không sợ những sự đe dọa của hắn .
あれは私のCDです。,đó là đĩa CD của tôi .
こっちに明かりをむけてくれないか。,xoay đèn lại hướng này giùm .
全国民がそのニュースを聞いて喜んだ。,toàn thể dân tộc vui mừng khi nghe tin ấy .
今日の午後三時に彼女と会うことになっている。,tôi đã hẹn gặp cô ấy lúc ba giờ chiều nay .
あなたは前もってそれを彼に話す方がよい。,bạn tốt hơn nên nói chuyện với anh ta trước .
私でよければ力になりますよ。,nếu không chê tôi sẽ trở thành sức mạnh của bạn .
我々の軍隊に完全に包囲されてしまって敵はとうとう降伏した。,"bị bao vây hoàn toàn bởi quân ta , kẻ địch cuối cùng cũng đã đầu hàng ."
それは、彼や他の科学者達が何を行っているのかを知りたい人たちのためのものであった。,cái đó là để cho những người muốn biết anh ta và những nhà khoa học khác đang làm gì .
あなたが駅に着くのにどのくらいかかりますか。,mất bao nhiêu thời gian để đi từ đay tới ga ?
彼女はドアを閉めて、２階にあがった。,cô ấy đóng cửa và đi lên tầng 2 .
そういうものなんです。,từ xưa đến giờ đả luôn luôn như vậy rồi .
豚は小屋にいない。,lợn không có ở trong chuồng .
いいえ、手伝いませんでした。,"không , tôi chưa hề giúp ."
トラング、もしあなたにマシュマロを送れたら、私は送るよ。,nếu tôi có thể gửi Trang một cục marshmallow thì tôi sẽ gửi .
彼女は赤い服を着ていた。,cô ấy mặc đồ đỏ .
彼が大好き！,mình rất thích anh ấy .
驚かない所をみると知ってたのね。,"anh có vẻ không bất ngờ nhỉ , chắc anh đã biết cả rồi ."
あぁまだ、宵の口だね。,đêm cũng dài quá ha ?
女王様が長生きされますように。,đức nữ hoàng muôn năm !
彼は全力を尽くしたが、すぐにあんな早いランナーには勝てないことがわかった。,anh ta đã nỗ lực hên mình nhưng ngay sau đó nhận ra mình không thể thắng người chạy đó với tốc độ nhanh như thế kia được .
私は男の姿を見た。,tôi thấy bóng dáng của một người đàn ông .
彼女がどんなに彼を喜ばそうとしても彼は喜ばなかった。,cô ấy cố làm anh ta hài lòng đến mức nào cũng không được .
私はそのような美しい女の子を一度も見たことがありませんでした。,tôi chưa từng gặp một cô bé nào xinh đẹp như vậy cả .
君の愚痴はもう聞きたくないよ。,tôi không muốn nghe thêm bất kì lời than vãn nào từ cậu nữa .
彼は少女たちを３列に分けた。,anh ta chia nữ ra thành 3 hàng .
百合は当時たびたびロンドンに行った。,Yuri gần đây hay tới London .
人は健康には気をつけねばならない。,mình nên tự lo cho bản thân mình .
母親がドアをノックした。,mẹ của anh ta gõ cửa .
昨晩彼女は風邪気味だった。,tối qua cô ấy bị cảm nhẹ .
ねえ、僕と結婚してくれる？,"em ơi , cưới anh nhé ?"
犬はどこだろう？,chó đâu rồi ?
あ、雪だ！,"A , tuyết rơi kìa !"
JavaとJavaScriptはインドとインドネシアくらい違うものです。,Java với JavaScript khác nhau như Ấn Độ khác với Indonesia vậy .
日本語が話せますか。,ông có nói tiếng Nhật không ?
そんなことは絶対にない。,tuyệt đối không có chuyện đó .
何してるの？,bạn đang làm gì đây ?
チェコ語を習っている。,tôi đang học tiếng Séc .
あぁまだ、宵の口だね。,đêm cũng dài quá ha ?
多くの植物は春に花をつける。,rất nhiều thực vật nở hoa vào mùa Xuân .
ハワイにはサーフ狂がいっぱいいる。,ở Hawaii có rất nhiều người đam mê lướt sóng .
その車は壁にぶつかった。,cái xe đã đụng vô tường .
座りなよ。,cứ ngồi nhé .
あなたが帰国なさる頃には、桜はみんな散ってしまっていることでしょう。,lúc bạn trở về quê nhà có lẽ cũng là lúc cánh hoa anh đào rụng rơi hết .
彼は今週ずっととても忙しかった。,anh ta cực kỳ bận tuần này .
彼女は休暇中です。,cô ấy đang trong kỳ nghỉ .
私は死後のことには興味がない。,tôi không hứng thú với chuyện kiếp sau .
彼は私を好きになったと告白した。,anh ấy đã thú nhận là thích tôi .
図書室ではしゃべるな。,không được nói chuyện ở phòng đọc sách ở thư viện .
りんごを食べています。,tôi đang ăn táo .
ねぇ私に話してよ、トラング。,thôi nào ! nói chuyện với mình đi Trang .
私達はその計画を実行した。,chúng tôi thực hiện kế hoạch đó .
ジムはどこ？,Jim đâu nhỉ ?
ちょっと休みたい。,tôi muốn nghỉ một lúc .
彼女は昨日東京へ向けて出発したようです。,có vẻ như cô ấy đã khởi hành đi tới Tokyo hôm qua .
男性が一家の主と言うことはアメリカ社会に当てはまる。,"trong xã hội Mỹ , đàn ông là trụ cột gia đình ."
小川がさらさらと流れる音が聞こえる。,dòng sông nhỏ chảy róc rách .
私たちは、今日はどこにも行かない。,hôm nay chúng mình không đi đâu cả .
ドイツでは沢山雨が降りますか？,ở Đức mưa có nhiều không ?
彼女の魅力は言葉では表現できない。,không gì có thể tả xiết sức hấp dẫn của cô ấy
できるよ！,được mà !
私は、偶然旧友に会った。,tôi tình cờ gặp lại người bạn cũ .
ワードプロセッサーの使い方を知っていますか。,bạn có biết cách sử dụng phần mềm soạn thảo văn bản không ?
彼は信用できない。,không thể tin anh ta được .
私は何十回もそこへ行きました。,tôi đã đến đó cả chục lần .
天然自然が荒らされていくのは残念なことだ。,lãng phí tài nguyên thiên nhiên lá một việc làm thật xấu hổ .
席は全部ふさがっている。,tất cả những chiếc ghế đều đã có người ngồi rồi .
彼はたくさんの物語を書いた。,anh ta đã viết nhiều câu chyện .
家族がいるってすばらしいです。,thật tuyệt vời khi có một gia đình .
彼は故意に間違った。,anh ta cố tình phạm sai lầm .
夜はこのホテルに泊まるつもりです。,tôi định sẽ ở qua đêm tại khách sạn này .
それは面白い。,cái đó nhìn hấp dẫn .
念のため傘持って行ったら？,để đề phòng thì bạn có thể mang ô theo .
もうすぐ授業が再開する。,sắp vô tiết rồi .
私は彼女のボーイフレンドと一緒に働いている。,tôi làm cùng với bạn trai cô ấy .
私は日本語が話せない。,tôi không biết nói tiếng Nhật .
そんな話は少しも信じてはいけません。,anh không được tin một câu nào của câu chuyện đó .
車を貸していただけませんか。,bạn cho tôi mượn xe ô tô được không ?
彼女は気を失ったが、数分後に正気に戻った。,cô ta bất tỉnh nhưng tỉnh lại trong vài phút sau .
止めて！あなたは彼女の気分を害してるわ。,đừng ! mày đang làm cô ấy bực bội đấy .
彼女はだいたい私と同じ年頃だ。,cô ấy tuổi cỡ ngang tôi .
聞けば聞くほどますます面白くなる。,càng nghe càng thấy trở nên thú vị .
仕事中です。,tôi đang làm việc .
すぐ行く方がよいと思う。,tôi nghĩ tốt hơn nên đi ngay .
ほんの一度会っただけ。,tôi chỉ gặp anh ta có một lần .
約束するよ。,tôi hứa .
今通りには全く雪がない。,bây giờ ngoài đường không còn tuyết nữa .
彼女は確かにそのことを知っているんです。,chị ấy chắc chắn biết điều đó .
「これが探していたものだ」と彼は叫んだ。, đây đúng là thứ mà tôi đang tìm  anh ta kêu lên .
それをあなたに説明することは私には無理です。,tôi không thế nào giải nghĩa cho bạn được .
彼の車は最新式だ。,chiếc xe của anh ta là model mới nhất .
やばい、パスポートなくしたかも。,"chết thật , chắc tớ mất hộ chiếu rồi ."
そのうわさは本当だと思う。,tôi nghĩ tin đồn đó là thật .
私は手もとによい参考書を持っていない。,tôi không có cuốn sách tham khảo tốt nào trong tay .
Maryさんはタオルだけでお風呂に出ている。,Mary bước ra khỏi nhà tắm chỉ với khăn tắm trên người .
彼は１年目で大学を辞めた。,anh ta nghỉ học lúc học năm nhất đại học .
パリへの最短経路に従って,theo con đường ngắn nhất để tới Paris .
彼は泣いていた。,anh ấy đang khóc .
あなたは何人兄弟がいますか。,bạn có mấy anh chị em ?
なんて狭い階段なんだ。,cầu thang hẹp thật !
思ったより安くあがった。,nó không đắt như tôi nghĩ .
あぁ私の白いズボンが！新しいのに。,kìa mấy cái quần trắng của mình ! vẫn còn mới !
私は、偶然旧友に会った。,tôi tình cờ gặp lại người bạn cũ .
声変だよ。どうしたの？,sao giọng bạn nghe lạ vậy . bạn bị sao à ?
面接はうまくいきました！,tôi đã thể hiện rất tốt ở buổi phỏng vấn !
主婦は家庭の仕事がたくさんある。,bà nội trợ có vô khối việc gia đình phải lo .
堅い書き物は大嫌いだ。,tôi rất ghét phải viết theo khuôn mẫu !
私はほかならぬ大統領に会った。,tôi đã gặp mặt chính ngài tổng thống .
このパソコン、ネットつながってますか？,máy tính này có kết nối internet được không ?
お母さんは森を通り抜けた。,mẹ tôi đã băng qua khu rừng .
何かお飲みになりますか？,bạn có muốn uống cái gì không ?
彼らは昨夜出発した。,anh ta đã xuất phát tối qua .
ますます多くの人々が都会に移ってきている。,càng có nhiều người đang di chuyển đến các khu vực đô thị .
しかし、逆もまた真である。,"nhưng , sự trái ngược cũng luôn luôn có lý ."
市長は市政を司る。,thị trưởng là người phụ trách chính sách của thành phố .
時間はたっぷりあった。,bạn còn rất nhiều thời gian .
彼と私はクラスメートです。,anh ta và tôi là bạn cùng lớp .
英語は３時間目だ。,anh văn là tiết thứ 3 .
お母さん早く！ みんな待ってるよ！,mẹ ơi nhanh lên ! mọi người đang đợi đấy .
JavaとJavaScriptはインドとインドネシアくらい違うものです。,Java với JavaScript khác nhau như Ấn Độ khác với Indonesia vậy .
彼の話の一部は本当だ。,một phần trong câu chuyện của ông là sự thật .
止めて！あなたは彼女の気分を害してるわ。,đừng ! mày đang làm cô ấy bực bội đấy .
私は誰がこの手紙を書いたのか知りません。,tôi không biết ai viết bức thư này .
生物学の先生がSoniaと言います。,cô giáo môn sinh học tên là Sonia .
あまりの暑さに我々は長く歩けなかった。,trời rất nóng nên chúng ta không thể đi bộ lâu được .
私は彼の言う事が全然わからなかった。,tôi không hiểu chút nào những gì anh ấy nói .
その男は太りすぎていて１人では動けなかった。,anh ta quá mập nên không thể tự mình di chuyển .
遅れてごめん。,xin lỗi tôi đến trễ .
その犬は走り始めた。,con chó bắt đầu chạy .
「おはよう」とトムは微笑みながら言った。, chào buổi sáng  Tom mỉm cười và nói .
私はそうは思いません。,tôi không nghĩ như vậy .
想像力は私たちの生活のどの側面にも影響を与える。,sự tưởng tượng ảnh hưởng đến mọi khía cạnh cuộc sống của chúng ta .
あら、申し訳ございません。,"ờ , xin lỗi nghe ."
赤ちゃんは寝ています。,em bé đang ngủ
時間はいくらでも作れる。,một người luôn luôn có thể kiếm thêm thì giờ .
彼らはどこから来たの。,họ đến từ đâu vậy ?
彼らは、私が嫌いだ。,họ không thích tôi .
私の特技は、いつでもどこでも誰とでも友達になれちゃうことなの。,"khả năng đặc biệt của tôi là có thể làm bạn với bất kỳ ai ở mọi lúc , mọi nơi ."
あまりにたくさんの仕事があるので、私はもう１時間います。,"tôi còn nhiều việc phải làm quá , chắc phải ở lại thêm một tiếng đồng hồ nữa ."
彼女は赤ん坊をしっかりと腕に抱きしめた。,cô ta ôm chặt đứa bé vào ngực .
起こしてくれる必要はなかったのに。,bạn không cần phải đánh thức tôi .
私は政治に関心がない。,tôi không quan tâm đến chính trị .
雨が降っている。,đang mưa .
「おはよう」とトムは微笑みながら言った。, chào buổi sáng  Tom mỉm cười và nói .
往復旅行？片道だけです。,vé khứ hồi phải không ? một chiều thôi .
アメリカ旅行のよい記念になりました。,cái này sẽ là một kỷ niệm tốt của cuộc du ngoạn xung quanh nước Mỹ .
彼女はピアノを弾き始めるところだ。,cô ấy mới bắt đầu chơi piano .
私はかぜぎみだったので、早く寝た。,"vì hơi bị cảm lạnh , nên tôi đi ngủ sớm ."
あんたのせいで食欲をなくしたよ。,nhờ ơn của bạn tôi hết còn thèm ăn .
変わりない？,có gì mới không ?
彼女がどんなに彼を喜ばそうとしても彼は喜ばなかった。,cô ấy cố làm anh ta hài lòng đến mức nào cũng không được .
あいにく私はお金を持っていない。,rất tiếc là tôi không mang tiền .
何の話をしていたっけ？,bạn vừa nói gì ?
あなたの忠告がなかったら、私は成功しなかっただろう。,không nhờ có lời khuyên của bạn thì có lẽ tôi đã chẳng thành công .
あれ？あなたまだここにいたのね！,"này , này , bạn còn ở đó không ?"
バスに傘を忘れるとは彼女はそそっかしい。,cô đã bất cẩn để quên chiếc ô trên xe buýt .
待つしかない。,tôi chỉ còn chờ đợi được thôi .
喧嘩のそば杖を食った。,tôi bị dính vào cuộc tranh cãi của người khác .
レッド先生が私に国語を教えてくれた。,cô Red dạy tôi tiếng Nhật .
髪型変えたら10歳は若く見えるよ。,bạn mà đổi kiểu tóc sẽ trông trẻ ra đến 10 tuổi .
１週間に一度ここで集まりましょう。,chúng ta hãy tập hợp ở đây 1 tuần 1 lần .
あなたはいつか人類が月に植民すると思いますか。,bạn thực sự nghĩ rằng con người một ngày nào đó có thể định cư trên Mặt trăng không ?
トムは母親と瓜二つだ。,tôm giống mẹ như đúc .
恋は盲目。,tình yêu mù quáng .
私とテニスをしませんか。,bạn có muốn chơi tennis với tôi không ?
私は彼の息子のだれにでも会ったことがない。,tôi chưa hề gặp ai trong số những người con trai của anh ta .
私には夢がある。,tôi có ước mơ .
「ありがとうご座います」「どう致しまして」," cám ơn .  "" không có chi . """
私は英語の試験の準備をしなければならない。,tôi phải chuẩn bị cho bài thi tiếng Anh .
その歌手は注目の的だった。,mọi sự chú ý đều tập trung về phía ca sĩ .
「ありがとう。」「どういたしまして。」," cám ơn .  "" không có chi . """
結婚の利益は、女性の本質を知ることであり、結婚の損失は、女性への幻滅を知ることである。それ故に結婚しない小説家は、未だ女を書くことが出来ない。結婚した詩人は、もはや女を歌うことができない。,"sự được mất của kết hôn là thấu hiểu được , đồng thời là vỡ mộng , về bản chất của phụ nữ . bởi vậy những tiểu thuyết gia còn độc thân chẳng biết viết gì về phụ nữ , còn những thi sĩ đã lập gia đình chẳng buồn ngợi ca phụ nữ nữa ."
アリスは会議に出席していませんでしたね。,Alice đã không có mặt tại cuộc họp phải không ?
仕事に行きたくない。,mình không muốn đi làm .
電気をつけてくれ。私は全く何も見えない。,thắp đèn lên đi . tôi chẳng nhìn thấy gì cả !
彼女を一人にした方がいい。,cô ấy nên ở một mình .
それは私じゃないよ、理事長！,"sếp à , không phải tôi đâu !"
インターネットは子供のいるべき場所じゃないって今でも思ってる。,đến giờ tôi vẫn nghĩ rằng Internet không phải là nơi dành cho trẻ con .
わたし達はたくさん歩きました。,chúng tôi đã đi bộ rất nhiều .
またいつか風のように走るんだ。,sẽ có một ngày tôi sẽ chạy nhanh như gió .
男がその部屋に入るのが見えた。,tôi đã trông thấy người đàn ông đó vào phòng .
授業が全然無いとでも言うの？！,bạn không bao giờ có lớp hay sao ?
はぁ・・・（汗）、それでコンタクトは取れるようになったのかしら・・・？,ờ ... cái đó sao rồi ?
放課後クラブ活動に残る子供が多い。,có nhiều đứa trẻ ở lại trường để tham gia các hoạt động ngoại khóa .
図書館はどこですか。,cho hỏi thư viện ở đâu vậy ?
何が問題なの？,vấn đề ở đâu ?
今日授業あるの完全に忘れてた。,tôi quên mất hôm nay có buổi học .
私は私の時間を浪費させる人間を殺さなくてはならなない。,ta phải giết ngươi vì đã làm lãng phí thời gian của ta .
あなたは私に夢を見させてくれるのね。,bạn khiến tôi mơ đấy .
チャンスを最大限に活用してみるべきだ。,bạn nên cố tận dụng tối đa những cơ hội mà mình có .
私たちの学校の図書館には本がたくさんある。,thư viện trường ta có rất nhiều sách .
彼はとても親切だ！,nó rất tốt .
あした電話でご連絡いたします。,ngày mai tôi sẽ liên lạc với bạn qua điện thoại .
君はそんなマニアックな古い車を運転しているのかい！,bạn đang lái xe cứ như một kẻ điên vậy !
彼は以前はたくさんの文章を読んだものだ。,trước đây anh ấy từng đọc rất nhiều .
その事故のことは聞きましたと彼女は言った。,cô ấy bảo đã nghe nói về vụ tai nạn .
彼女は彼に大金を借りている。,cô ấy nợ anh ta một khoản tiền lớn .
彼らは二度と会うことはなかった。,họ đã không gặp mặt nhau một lần nào nữa .
森に行ったら、子供くい鬼に気をつけてください！,vào rừng phải cẩn thận coi chừng quỷ ăn thịt trẻ em !
かわいい子紹介してよ。,giới thiệu cho tớ mấy em xinh tươi đi .
医者に相談した方がいいよ。,bạn nên nhờ bác sỹ tư vấn thì hơn .
この本はとても厚い。,cuốn sách dày thật .
彼女の思考回路がまったく理解できない。,tôi hoàn toàn không thể hiểu cách suy nghĩ của cô ấy .
彼はお金に困っている。,anh ấy đang cần tiền .
本当？,thật à ?
子供達の中の１人は勉強していますが他の子供達は全員遊んでいます。,"trong lũ trẻ có một đứa đang học , còn những đứa khác toàn bộ đang chơi ."
彼らがフランス語を話すことは、もしあってもまれだ。,anh ta có cũng rất hiếm khi nói tiếng Pháp .
今通りには全く雪がない。,bây giờ ngoài đường không còn tuyết nữa .
彼の話の一部は本当だ。,một phần trong câu chuyện của ông là sự thật .
彼女は休暇中です。,cô ấy đang trong kỳ nghỉ .
彼女はあなたの妹ですか。,cô ấy là em gái bạn à ?
この問題はそれよりやさしい。,vấn đề này dễ dàng hơn thế .
握手しましょう。,xin hãy bắt tay .
もし世界が今の形をしていなかったら、私は誰でも信用できうる。,"nếu thế giới không như bây giờ , thì tôi có thể tin ai cũng được ."
「トランプしたいなあ。」「私も。」," tôi muốn đánh bài .  "" tôi cũng vậy . """
主婦は家庭の仕事がたくさんある。,bà nội trợ có vô khối việc gia đình phải lo .
私は歩いて行きます。,tôi sẽ đi bộ .
彼は使い切れない程のお金を稼ぐ。,anh ta kiếm được nhiều tiền hơn mức có thể tiêu hết
大人しそうに見えても男はみんな狼だからね。覚えときな。,"dù vẻ bề ngoại có đạo mạo đến đâu , lòng dạ đàn ông đều là lang sói cả . con phải nhớ đấy nhé ."
昨日は僕が本を読みました。,hôm qua tôi đã đọc sách .
全然部屋に似合わないけど、貰ったから良し！,"đúng là nó không hợp với căn phòng , nhưng miễn phí nên lấy cũng không sao ."
誰もあなたを迎えに駅に来てくれなかったとは残念だ。,thật buồn khi chẳng ai đến gặp bạn ở nhà ga cả .
私は学生の頃、よくあのピザ店へ行ったものだった。,hồi còn đi học tôi hay đến tiệm pizza đó .
誰もあなたを迎えに駅に来てくれなかったとは残念だ。,thật buồn khi chẳng ai đến gặp bạn ở nhà ga cả .
私が絶対勝てないってあなた言った？,bạn vừa nói rằng tôi không thể thắng được à ?
ありがとうございます！,cám ơn bạn nhiều nghe !
成功への鍵を握るのは教育である。,giáo dục là chìa khóa dẫn tới thành công .
彼はきのう旅行に出発した。,anh ta khởi hành chuyến đi từ hôm qua .
明日仕事を始めるのはご都合がよいでしょうか。,ngày mai bắt đầu làm việc có tiện không ?
本当？,thật sao ?
今日の予定は？,hôm nay có dự định gì không ?
残念ながらそれは本当なのです。,tiếc rằng cái đó là sự thật .
トムがどこに住んでいるか分かった。,tôi biết Tom sống ở đâu .
もう好きじゃない。,tao không thích mày nữa .
彼はいつも他人のあらを探している。,anh ta luôn luôn truy tìm những sai lầm của người khác .
このシステムには、保護回路が組み込まれています。,"với hệ thống này , mạch bảo vệ đã được thiết kế tích hợp bên trong ."
彼女はその花をとても大事にしている。,cô ấy rất quý bông hoa đó .
誰がラジウムを発見したのですか。,ai phát hiện ra nguyên tố Radium vậy ?
私が話しているときは私を見て！,làm ơn nhìn mặt tôi khi nói chuyện !
思ったより安くあがった。,nó không đắt như tôi nghĩ .
誤解され得るものはいずれすべて誤解されるであろう。,cái gì dễ bị hiểu lầm thì sẽ luôn như vậy thôi .
火事！,cháy !
彼は長く歩いてきたあとだから、ひどく疲れているに違いない。,anh ta chắc hẳn phải rất mệt mỏi sau khi đi một quãng đường dài như vậy .
私がこの絵が好きなのは、単に有名だからではなくて本当に傑作だからだ。,tôi thích bức tranh này không đơn giản chỉ là do nó nổi tiếng mà bởi vì thực sự nó là một kiệt tác .
あなたは全く間違っています。,bạn đã hoàn toàn sai lầm .
彼が住んでいる場所は町から遠いところです。,anh ta sống ở nơi xa làng .
私は毎日６時に起きる。,mỗi ngày tôi dậy lúc 6 giờ .
理論上、理論と実行の間には何の違いもないが、実際上違いはあるものだ。,"có thuyết cho là lý thuyết không khác gì với thực hành , nhưng trong thực hành thì lại có khác ."
私は眠らなければなりません。,tôi phải đi ngủ .
あなたが欲しいだけ取りなさい。,cứ lấy bao nhiêu bạn muốn .
暗さがもっとも増すときに、人々は星を見る。,mọi người ngắm sao khi trời tối hơn nữa .
私は英語の試験の準備をしなければならない。,tôi phải chuẩn bị cho bài thi tiếng Anh .
昨年ロンドンへ行きました。,chúng mình đi qua London năm vừa rồi
彼は２０歳の時にこの小説を書いた。,ông ấy viết truyện ngắn này khi 20 tuổi .
その少年は大人のような口の利き方をする。,thằng bé ấy nói chuyện như người lớn .
休みは終わった。,kỳ nghỉ từ đây kết thúc .
この騒音にはがまんできない。,tôi không thể chịu đựng tiếng ồn này thêm nữa
生活費が断然上がった。,giá sinh hoạt đã nhất loạt tăng .
いや、全然。,"không , không phải toàn bộ ."
何と言ったら良いか分かりません。,tôi hết lời để nói .
今日の私は、ひとえに両親のおかげです。,"nếu không có sự giúp đỡ từ ba mẹ , con sẽ không được như ngày hôm nay ."
彼は変わった人だ。,anh ta là một người kỳ lạ .
いいえ、切符売場で買わなければなりません。,"không , anh phải mua vé ở quầy bán ."
その会社はイメージアップをはかっている。,chúng tôi đang bàn bạc việc nâng cao hình ảnh của công ty .
これ誰の本？,sách của ai thế ?
嵐になりそうです。,sắp có một cơn bão .
我々はその自動車メーカーに部品を供給している。,chúng tôi cung cấp phụ tùng cho nhà sản xuất xe hơi
わざとやったのね！,bạn cố ý làm phải không !
辞書を借りてもいいですか。,bạn cho mình mượn cuốn từ điển được không ?
あなたはその切符を買うために、列に並ばなければなりません。,bạn phải xếp hàng để mua vé .
彼はどこからどこまでも紳士らしい。,anh ta từ đầu đến chân trông rất quý phái .
わたしはあなたの夢を見ました。,tôi mơ đến bạn .
喧嘩のそば杖を食った。,tôi bị dính vào cuộc tranh cãi của người khác .
あなたの勉強を邪魔しないようにします。,tôi sẽ cố không quấy rầy bạn học hành .
子供の頃のことをよくおぼえている。,tôi nhớ rất rõ những ký ức về thời thơ ấu của mình .
「お酒嫌いなの？」「いや、好きなんだけどすごく弱いんだ」," bạn không thích uống rựu à ?  "" không , tôi thích chứ nhưng tửu lượng lại yếu quá "" ."
公園にたくさんのアベックがいた。,có rất nhiều cặp tình nhân ở công viên .
頭痛がする。,tôi bị nhức đầu .
たまに私は彼と別れるようかと思う。,có lúc tôi nghĩ đến chuyện ly dị anh ta .
午後６時にうかがって、あなたの都合はよろしいでしょうか。,có tiện cho bạn nếu tôi đến lúc 6 giờ chiều không ?
彼にはユーモア精神が全然ないようだ。,hình như anh ấy chẳng có tí khiếu hài hước nào .
車を貸していただけませんか。,bạn cho tôi mượn xe ô tô được không ?
君は僕をいらいらさせる。,mày làm tao tức quá !
彼女は生徒たちが彼女の言葉を聞き逃すといけないからゆっくり話しました。,cô ấy nói chậm lại vì học sinh không nghe kịp .
彼女は音楽が大好きだ。,cô rất yêu thích âm nhạc .
食べ過ぎると太りますよ。,ăn nhiều quá mập đấy .
誰しも、夢はかなうと信じたいものだ。,ai cũng muốn tin rằng mọi giấc mơ đều có thể trở thành hiện thực .
誰がこの問題をしらないんだ？,ai lại không biết về vấn đề này ? !
彼女はその金を受け取ることを拒否した。,cô ấy đã từ chối nhận tiền .
スポーツが好きです。,tôi thích thể thao .
裕子は外国人と話したことがない。,Yuko chưa bao giờ nói chuyện với người ngoại quốc .
警察はあなたに弾丸をみつけさせるでしょう。,cảnh sát sẽ bắt bạn tìm ra mấy viên đạn .
彼には人間的な感情がまったくかけている。,anh ta hoàn toàn vô cảm .
そんなことは嫌いだ。,tôi ghét những thứ đó .
黙って聞け！,im đi nghe đây !
水道メーターの数字を読んで下さい。,vui lòng đọc các con số trên đồng hồ đo nước .
私を見て。,nhìn tôi này .
何が言いたいのか分からないなあ。,tôi không biết ý của bạn là gì .
彼は私に私達のチームが勝ったという知らせを持ってきた。,anh ta báo cho tôi về sự chiến thắng của đội chúng tôi .
結局は誰でも自分で学ぶしかない。,"rốt cuộc , ai cũng phải tự học thôi ."
この画家は美しい絵画を創作する。,người họa sĩ này vẽ nên những bức tranh đẹp .
注射のことを考えると怖くて震えてしまう。,cứ nghĩ đến chích là người run lên lo sợ .
この店は瀬戸物を売っている。,cửa hàng này có bán đồ gốm sứ .
多額の金がその橋に費やされた。,một số lượng lớn đã được đổ vào cây cầu đó .
女の子は男の子より早熟だ。,con gái thì lớn nhanh hơn con trai .
学校まで歩きます。,tôi đi bộ đến trường .
君は、窓を開けたままにしておきましたか。,bạn có đang để cửa sổ mở không ?
英語の宿題手伝ってくれない？,giúp tớ làm bài tập tiếng Anh nhé ?
雨らしい。,giống như mưa vậy .
食習慣は国により異なる。,văn hóa ăn uống khác nhau ở mỗi nước .
そんなことは起きないでしょう。,sẽ không xảy ra đâu .
ハワイの海岸は巨大な波で有名だ。,bãi biển Hawaii nổi tiếng là có những con sóng lớn .
彼が住んでいる場所は町から遠いところです。,anh ta sống ở nơi xa làng .
昨日は僕が本を読みました。,hôm qua tôi đã đọc sách .
私が格好いいと思いますか。,bạn có nghĩ tôi bảnh không ?
